Fecha,Hora,Place,humedad_suelo,humedad_amb,temperatura
26 02 23,00:55:23,sala,56%,50.00%,22.90C
26 02 23,00:55:23,cat,.714,6,C
26 02 23,00:55:31,sala,56%,49.80%,22.90C
26 02 23,00:55:31,curo7855%6,3,uro7855%3%23,cro7945%3%2C
26 02 23,00:55:38,sala,56%,49.40%,22.90C
26 02 23,00:55:38,cuarto,7.825953%,36%,23C
26 02 23,00:55:45,sala,56%,49.00%,22.90C
26 02 23,00:55:45,cuarto,7.825953%,36%,23C
26 02 23,00:55:52,sala,56%,48.70%,22.90C
26 02 23,00:55:52,cuarto,7.825953%,35%,23C
26 02 23,00:56:00,sala,56%,48.60%,23.00C
26 02 23,00:56:00,cuarto,7.924354%,35%,23C
26 02 23,00:56:07,sala,56%,48.50%,22.90C
26 02 23,00:56:07,cuarto,7.776753%,35%,23C
26 02 23,00:56:14,sala,56%,48.40%,23.00C
26 02 23,00:56:14,cuarto,7.825953%,35%,23C
26 02 23,00:56:22,sala,56%,48.20%,23.00C
26 02 23,00:56:22,cuarto,7.776753%,35%,23C
26 02 23,00:56:29,sala,56%,48.20%,23.00C
26 02 23,00:56:29,cuarto,7.825953%,35%,23C
26 02 23,00:56:36,sala,56%,48.30%,23.00C
26 02 23,00:56:36,cuarto,7.776753%,35%,23C
26 02 23,00:56:43,sala,56%,48.40%,23.00C
26 02 23,00:56:43,cuarto,7.776753%,35%,23C
26 02 23,00:56:51,sala,56%,48.80%,23.00C
26 02 23,00:56:51,cuarto,7.678352%,35%,23C
26 02 23,00:56:58,sala,56%,48.80%,23.00C
26 02 23,00:56:58,cuarto,7.825953%,35%,23C
26 02 23,00:57:05,sala,56%,48.50%,23.00C
26 02 23,00:57:05,cuarto,8.121156%,35%,23C
26 02 23,00:57:13,sala,56%,48.40%,23.00C
26 02 23,00:57:13,cuarto,7.678352%,35%,23C
26 02 23,00:57:20,sala,56%,48.30%,23.00C
26 02 23,00:57:20,cuarto,7.973555%,35%,23C
26 02 23,00:57:27,sala,56%,48.20%,23.00C
26 02 23,00:57:27,cuarto,7.825953%,35%,23C
26 02 23,00:57:34,sala,56%,48.20%,23.10C
26 02 23,00:57:34,cuarto,8.071956%,35%,23C
26 02 23,00:57:42,sala,56%,48.40%,23.10C
26 02 23,00:57:42,cuarto,7.825953%,35%,23C
26 02 23,00:58:03,sala,56%,48.50%,23.10C
26 02 23,00:58:03,cuarto,7.776753%,36%,23C
26 02 23,00:58:11,sala,56%,48.40%,23.10C
26 02 23,00:58:11,cuarto,7.924354%,36%,23C
26 02 23,00:58:18,sala,56%,48.10%,23.10C
26 02 23,00:58:18,cuarto,7.825953%,36%,23C
26 02 23,00:58:25,sala,56%,48.00%,23.10C
26 02 23,00:58:25,cuarto,7.875154%,36%,23C
26 02 23,00:58:33,sala,56%,48.00%,23.10C
26 02 23,00:58:33,cuarto,7.973555%,36%,23C
26 02 23,00:58:40,sala,56%,48.20%,23.10C
26 02 23,00:58:40,cuarto,7.727552%,36%,23C
26 02 23,00:58:47,sala,56%,48.20%,23.10C
26 02 23,00:58:47,cuarto,7.579951%,36%,23C
26 02 23,00:58:54,sala,56%,48.10%,23.10C
26 02 23,00:58:54,cuarto,7.875154%,36%,23C
26 02 23,00:59:02,sala,56%,48.10%,23.10C
26 02 23,00:59:02,cuarto,7.825953%,36%,23C
26 02 23,00:59:09,sala,56%,48.00%,23.10C
26 02 23,00:59:09,cuarto,7.875154%,35%,23C
26 02 23,00:59:16,sala,56%,47.90%,23.10C
26 02 23,00:59:16,cuarto,7.825953%,35%,23C
26 02 23,00:59:23,sala,56%,48.00%,23.20C
26 02 23,00:59:23,cuarto,7.678352%,35%,23C
26 02 23,00:59:31,sala,56%,47.90%,23.10C
