Fecha,Hora,Place,humedad_suelo,humedad_amb,temperatura
10 03 23,06:26:01,sala,94.0652,35.4,23.4
10 03 23,06:26:20,sala,94.0652,35.3,23.4
10 03 23,06:33:09,sala,94.0652,35.7,23.4
10 03 23,06:37:06,sala,94.0652,35.7,23.4
10 03 23,06:42:23,sala,94.0652,35.5,23.3
10 03 23,06:46:24,sala,94.0652,35.8,23.4
10 03 23,06:51:20,sala,93.8684,35.8,23.3
10 03 23,06:56:43,sala,93.8684,35.8,23.3
10 03 23,07:25:57,sala,94.0652,37.1,23.1
10 03 23,07:27:36,sala,94.0652,36.9,23.1
10 03 23,07:39:53,sala,94.0652,37.6,23.1
10 03 23,07:44:56,cuarto,62.10639,28.0,22.0
10 03 23,07:46:12,sala,94.0652,37.7,23.1
10 03 23,07:46:17,sala,94.0652,37.7,23.1
10 03 23,07:46:23,cuarto,61.31919,28.0,22.0
10 03 23,07:50:06,sala,94.0652,37.7,23.2
10 03 23,07:50:10,cuarto,62.05719,29.0,23.0
10 03 23,07:55:06,sala,94.0652,37.6,23.2
10 03 23,07:55:10,cuarto,62.10639,29.0,23.0
10 03 23,08:00:05,sala,94.0652,37.2,23.2
10 03 23,08:00:12,cuarto,61.41759,28.0,23.0
10 03 23,08:05:05,sala,94.0652,37.1,23.2
10 03 23,08:05:13,cuarto,63.04121,28.0,23.0
10 03 23,08:10:06,sala,94.0652,37.0,23.2
10 03 23,08:10:12,cuarto,62.00799,29.0,23.0
10 03 23,08:15:07,sala,94.0652,36.9,23.3
10 03 23,08:15:13,cuarto,61.90959,29.0,23.0
10 03 23,08:20:08,sala,93.8684,37.1,23.4
10 03 23,08:20:13,cuarto,61.71279,28.0,23.0
10 03 23,08:25:04,sala,94.0652,37.3,23.5
10 03 23,08:25:07,cuarto,62.20479,29.0,23.0
10 03 23,08:30:08,sala,94.0652,37.5,23.5
10 03 23,08:30:16,cuarto,61.61439,29.0,23.0
10 03 23,08:35:04,sala,93.8684,37.8,23.6
10 03 23,08:35:09,cuarto,61.61439,29.0,23.0
10 03 23,08:40:04,sala,94.0652,37.5,23.7
10 03 23,08:40:09,cuarto,61.36839,28.0,23.0
10 03 23,08:45:03,sala,94.0652,37.8,23.7
10 03 23,08:45:09,cuarto,61.41759,28.0,23.0
10 03 23,08:50:05,sala,94.0652,38.0,23.7
10 03 23,08:50:09,cuarto,61.71279,28.0,23.0
10 03 23,08:55:05,sala,93.8684,37.4,23.8
10 03 23,08:55:10,cuarto,61.36839,28.0,23.0
10 03 23,09:00:06,sala,93.8684,37.5,23.9
10 03 23,09:00:10,cuarto,61.36839,28.0,23.0
10 03 23,09:05:06,sala,93.8684,37.2,23.9
10 03 23,09:05:11,cuarto,61.81119,28.0,23.0
10 03 23,09:10:06,sala,93.8684,36.9,23.9
10 03 23,09:10:12,cuarto,61.61439,28.0,23.0
10 03 23,09:15:07,sala,94.0652,36.9,23.8
10 03 23,09:15:12,cuarto,61.81119,28.0,23.0
10 03 23,09:20:08,sala,93.8684,36.8,23.8
10 03 23,09:20:12,cuarto,61.36839,27.0,23.0
10 03 23,09:25:07,sala,93.8684,36.2,23.8
10 03 23,09:25:12,cuarto,62.10639,28.0,23.0
